Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
30-34 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,6,devops,"""...lead...""","800 000,00 kr",Ja,Ja,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
30-34 år,Oslo,konsulent,privat,5,5,devops,"""...senior...""","780 000,00 kr",Ja,Ja,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,uenig,enig,uenig,uenig,uenig,enig,uenig,uenig,enig,enig,enig
30-34 år,Oslo,in-house,privat,3,6,devops,nei,"570 000,00 kr",Ja,Ja,Nei,annet,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,enig,enig,enig
30-34 år,annet,in-house,ikke oppgitt,ikke oppgitt,10,devops,"""...ansvarlig...""","980 000,00 kr",Nei,Ja,Ja,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), Personlig utvikling",uenig,uenig,enig,enig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
30-34 år,annet,in-house,privat,5,6,devops,nei,"680 000,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,enig
30-34 år,Oslo,konsulent,privat,0,6,devops,nei,"760 000,00 kr",Ja,Ja,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
30-34 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,10,devops,"""...sjef...""","1 050 000,00 kr",Ja,Ja,Nei,annet,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
30-34 år,Viken,in-house,privat,3,3,devops,"""...senior...""","565 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig
30-34 år,Rogaland,in-house,offentlig,5,10,devops,"""...senior...""","808 000,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
30-34 år,Viken,konsulent,ikke oppgitt,3,2,devops,nei,"500 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager)",enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,uenig,enig
