Hva er din alder?,I hvilket fylke ligger jobben din?,Hva beskriver best din arbeidssituasjon?,Er du ansatt i det offentlige eller private næringsliv?,"Hvor mange års relevant, formell utdannelse har du?",Hvor mange års relevant arbeidserfaring har du?,Hva jobber du mest med?,Har du en av disse begrepene i stillingstittelen din? ,"Hva er din grunnlønn? (årslønn før skatt, uten eventuelle bonuser eller overtidsbetaling)","Er du organisert? (Altså medlem av en forening som Tekna, El&it, Nito osv)",Pleier du å få mer utbetalt enn grunnlønn på grunn av overtidsbetaling?,Har du en bonusordning hos din nåværende arbeidsgiver?,"Sist du gikk opp i lønn, hvordan skjedde det? (altså en helt ny lønn eller en lønnsjustering utover indeksregulering, sentrale oppgjør osv.)",Alt i alt - er du fornøyd med din egen lønn?,"Om du skal bytte jobb, hvilke goder kan være like viktig som lønn? ","""Skal jeg bytte jobb, skal jeg også opp i lønn.""","""Hvor mye man tjener avhenger av hvor flink man er i jobben sin.""","""Hvor mye man tjener avhenger av hvilken tittel man har.""","""Hvor mye man tjener avhenger av hvor gammel man er."" (Altså uavhengig av erfaring og fartstid i selskapet)","""Utviklere er blant de som tjener mest på arbeidsplassen min.""","""Jeg tror jeg hadde tjent mer nå om det ikke hadde vært for korona."" (for eksempel på grunn av manglende lønnsjustering, mindre aktuelt å bytte jobb, osv)","""Jeg synes man bør tjene mer om man jobber hjemmefra.""","""Jeg synes man bør tjene mindre om man jobber hjemmefra.""","""Jeg tror kjønn i seg selv spiller inn i hvor mye man tjener.""","""Om noen spør, synes jeg det er greit å fortelle kolleger hva jeg tjener.""","""Jeg synes det er greit å spørre kolleger hva de tjener.""","""Vi burde ha mer åpenhet på en arbeidsplass om hva vi tjener."""
20-24 år,Trøndelag,in-house,ikke oppgitt,3,1,fullstack,nei,"550 000,00 kr",Nei,Ja,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"580 000,00 kr",Ja,Nei,Nei,vet ikke/ikke aktuelt,Ja,"faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,uenig,enig,enig,enig,enig
20-24 år,Vestland,in-house,privat,3,0,fullstack,nei,"436 000,00 kr",Nei,Nei,Nei,Jeg ba sjefen om mer lønn,Nei,"fleksible arbeidstider, firmahytter/ferieboliger, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,uenig,enig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","540 000,00 kr",Ja,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,uenig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"580 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,ikke oppgitt,ikke oppgitt,3,fullstack,nei,"620 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Vestland,in-house,privat,3,1,fullstack,nei,"499 000,00 kr",Ja,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,enig
20-24 år,annet,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","475 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,1,fullstack,"""...junior...""","528 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig
20-24 år,Viken,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"505 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,in-house,privat,5,1,fullstack,nei,"650 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
20-24 år,Oslo,in-house,privat,0,0,fullstack,"""...junior...""","460 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,privat,0,0,fullstack,"""...junior...""","460 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,0,fullstack,"""...junior...""","475 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Agder,in-house,privat,3,1,fullstack,"""...junior...""","500 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,enig
20-24 år,Oslo,in-house,offentlig,3,1,fullstack,"""...junior...""","530 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Ja,annet,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,"""...junior...""","540 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Viken,in-house,privat,3,0,fullstack,nei,"435 000,00 kr",Nei,Nei,Nei,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
20-24 år,Vestland,in-house,privat,0,0,fullstack,nei,"520 000,00 kr",Nei,Ja,Ja,vet ikke/ikke aktuelt,Ja,mulighet å jobbe hjemmefra/remote,enig,enig,vet ikke/ikke aktuelt,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Vestland,in-house,privat,0,1,fullstack,nei,"520 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, firmabil",enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,enig,enig,enig
20-24 år,Vestland,in-house,privat,5,2,fullstack,nei,"562 000,00 kr",Ja,Ja,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",uenig,uenig,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,nei,"600 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,enig,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,5,0,fullstack,nei,"590 000,00 kr",Ja,Ja,Nei,annet,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,enig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Rogaland,in-house,privat,3,2,fullstack,nei,"550 000,00 kr",Ja,Ja,Nei,Jeg ba sjefen om mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,in-house,ikke oppgitt,3,1,fullstack,"""...junior...""","540 000,00 kr",Nei,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,ikke oppgitt,3,1,fullstack,"""...overingeniør...""","566 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,vet ikke/ikke aktuelt,enig,enig,enig,enig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Vestfold og Telemark,in-house,ikke oppgitt,3,1,fullstack,nei,"540 000,00 kr",Nei,Nei,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,enig,enig,enig,uenig,uenig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,3,2,fullstack,nei,"550 000,00 kr",Nei,Ja,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,2,fullstack,nei,"550 000,00 kr",Nei,Ja,Ja,Jeg fikk ny arbeidsgiver,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,offentlig,3,1,fullstack,nei,"610 000,00 kr",Ja,Ja,Nei,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,enig,enig,uenig,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,5,fullstack,annet,"600 000,00 kr",Nei,Nei,Nei,Jeg starta min egen arbeidsplass,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,vet ikke/ikke aktuelt,enig,uenig,enig,enig,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,Møre og Romsdal,in-house,ikke oppgitt,ikke oppgitt,1,fullstack,"""...junior...""","495 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"mulighet å jobbe hjemmefra/remote, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr, Gode kollegaer",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig
20-24 år,Vestland,in-house,privat,3,1,fullstack,nei,"508 000,00 kr",Ja,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmahytter/ferieboliger, firmabil, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,enig,uenig,uenig,uenig,uenig,uenig,enig,uenig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"524 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,1,fullstack,nei,"524 000,00 kr",Nei,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,uenig,uenig,enig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,uenig,uenig,vet ikke/ikke aktuelt
20-24 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"526 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Trøndelag,in-house,ikke oppgitt,ikke oppgitt,4,fullstack,nei,"526 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,offentlig,3,2,fullstack,nei,"545 000,00 kr",Ja,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote",enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig
20-24 år,Rogaland,in-house,privat,3,1,fullstack,nei,"580 000,00 kr",Nei,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,uenig,enig,uenig,uenig,uenig,uenig,enig,uenig,uenig
20-24 år,Trøndelag,konsulent,privat,5,0,fullstack,nei,"590 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"firmahytter/ferieboliger, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,5,1,fullstack,nei,"590 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,nei,"610 000,00 kr",Ja,Nei,Nei,Sjefen tilbydde meg mer lønn,Ja,fleksible arbeidstider,vet ikke/ikke aktuelt,uenig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,Oslo,in-house,privat,3,3,fullstack,nei,"625 000,00 kr",Nei,Ja,Nei,Sjefen tilbydde meg mer lønn,Ja,"faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt
20-24 år,Oslo,konsulent,privat,3,3,fullstack,nei,"645 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,uenig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,uenig,enig,enig,enig,enig
20-24 år,Oslo,konsulent,privat,3,2,fullstack,nei,"650 000,00 kr",Nei,Nei,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, firmabil, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Vestland,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,"""...junior...""","550 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.)",enig,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
20-24 år,Viken,in-house,ikke oppgitt,ikke oppgitt,0,fullstack,"""...junior...""","581 100,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,uenig,enig,uenig,enig,uenig,uenig,uenig,enig,enig,uenig,enig
20-24 år,Oslo,konsulent,privat,5,0,fullstack,"""...junior...""","640 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,vet ikke/ikke aktuelt,enig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,enig,enig,vet ikke/ikke aktuelt
20-24 år,Vestland,in-house,privat,4,1,fullstack,nei,"536 000,00 kr",Nei,Nei,Ja,vet ikke/ikke aktuelt,Nei,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager)",enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,enig,vet ikke/ikke aktuelt,enig,uenig,uenig,uenig,enig,vet ikke/ikke aktuelt,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,0,fullstack,nei,"538 000,00 kr",Ja,Nei,Ja,vet ikke/ikke aktuelt,Ja,"mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,uenig,enig,uenig,vet ikke/ikke aktuelt,uenig,uenig,vet ikke/ikke aktuelt,enig,uenig,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,3,ledelse/administrativt,"""...ansvarlig...""","475 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, firmabil, sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",uenig,enig,uenig,uenig,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,konsulent,ikke oppgitt,ikke oppgitt,2,ledelse/administrativt,"""...junior...""","610 000,00 kr",Ja,Ja,Ja,vet ikke/ikke aktuelt,Ja,ingen spesielle,enig,enig,uenig,uenig,enig,uenig,uenig,uenig,uenig,enig,enig,enig
20-24 år,annet,in-house,privat,3,0,programvare,nei,"596 000,00 kr",Ja,Nei,Ja,Jeg fikk ny arbeidsgiver,Ja,"fleksible arbeidstider, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.), gode ordninger for gratis teknisk utstyr",enig,enig,enig,vet ikke/ikke aktuelt,enig,uenig,enig,uenig,uenig,enig,enig,enig
20-24 år,Oslo,in-house,privat,0,2,programvare,nei,"430 000,00 kr",Nei,Nei,Nei,Jeg fikk ny stilling hos samme arbeidsgiver,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, Eierskap i selskapet. ",enig,enig,enig,enig,vet ikke/ikke aktuelt,uenig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,vet ikke/ikke aktuelt,uenig
20-24 år,Oslo,konsulent,privat,3,0,programvare,"""...junior...""","557 000,00 kr",Ja,Ja,Ja,Sjefen tilbydde meg mer lønn,Ja,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, mer fritid (for eksempel flere feriedager), sosiale aktiviteter (turer, fester, arrangementer osv.), faglige aktiviteter (konferanser, kurs, fagdager osv.)",vet ikke/ikke aktuelt,enig,enig,uenig,uenig,vet ikke/ikke aktuelt,uenig,uenig,enig,enig,vet ikke/ikke aktuelt,enig
20-24 år,annet,in-house,ikke oppgitt,ikke oppgitt,2,programvare,nei,"500 000,00 kr",Ja,Ja,Nei,Jeg trua med å si opp,Nei,"fleksible arbeidstider, mulighet å jobbe hjemmefra/remote, faglige aktiviteter (konferanser, kurs, fagdager osv.)",enig,enig,uenig,enig,uenig,enig,vet ikke/ikke aktuelt,vet ikke/ikke aktuelt,uenig,enig,enig,enig
